日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2025-12-10,3201.38,3188.01,3202.36,3143.41,105763365,274111694577.64,1.84%,-0.67%,-21.59,1.95%
2025-12-09,3183.61,3209.60,3235.54,3175.51,204692715,535033737881.84,1.88%,0.61%,19.33,3.78%
2025-12-08,3119.15,3190.27,3214.48,3119.15,222726847,590131765522.50,3.07%,2.60%,80.97,4.11%
2025-12-05,3084.22,3109.30,3115.81,3048.94,197406943,476953447375.70,2.18%,1.36%,41.82,3.64%
2025-12-04,3037.05,3067.48,3075.46,3016.58,185603506,416176565445.79,1.94%,1.01%,30.69,3.43%
2025-12-03,3078.86,3036.79,3105.30,3028.70,204220766,470656693967.80,2.49%,-1.12%,-34.36,3.77%
2025-12-02,3091.37,3071.15,3094.18,3056.36,201291473,451812885257.76,1.22%,-0.69%,-21.35,3.72%
2025-12-01,3060.56,3092.50,3093.96,3037.69,219343139,522884477827.16,1.84%,1.31%,39.91,4.05%
2025-11-28,3029.98,3052.59,3067.76,3013.49,195152701,460620035911.41,1.79%,0.70%,21.29,3.60%
2025-11-27,3041.20,3031.30,3113.44,3027.31,203878146,499106212871.15,2.83%,-0.44%,-13.39,3.76%
2025-11-26,2976.70,3044.69,3081.49,2962.99,223349763,529027126676.59,3.98%,2.14%,63.76,4.12%
2025-11-25,2970.73,2980.93,3027.83,2961.93,240244351,528159166186.67,2.25%,1.77%,51.89,4.43%
2025-11-24,2946.46,2929.04,2951.43,2892.27,231619369,482298936805.05,2.03%,0.31%,8.96,4.28%
2025-11-21,2979.37,2920.08,2996.79,2920.04,261516446,537437629813.01,2.52%,-4.02%,-122.26,4.83%
2025-11-20,3131.84,3042.34,3137.07,3039.38,208791385,452051459701.66,3.18%,-1.12%,-34.51,3.85%
2025-11-19,3065.17,3076.85,3113.22,3061.96,226250386,463650345532.68,1.67%,0.25%,7.63,4.18%
2025-11-18,3089.38,3069.22,3115.31,3052.64,238199986,508841079055.28,2.02%,-1.16%,-35.98,4.40%
2025-11-17,3097.34,3105.20,3120.73,3082.23,225562453,493700722242.94,1.24%,-0.20%,-6.31,4.16%
2025-11-14,3145.92,3111.51,3167.11,3111.51,221877911,494326633709.59,1.74%,-2.82%,-90.24,4.10%
2025-11-13,3119.09,3201.75,3209.70,3107.62,217420321,528672087446.39,3.27%,2.55%,79.72,4.01%
2025-11-12,3122.58,3122.03,3137.58,3078.64,209841194,492937005521.06,1.88%,-0.39%,-12.29,3.87%
2025-11-11,3197.12,3134.32,3209.89,3130.58,213092429,511967313133.22,2.49%,-1.40%,-44.51,3.93%
2025-11-10,3221.93,3178.83,3236.61,3138.30,213869043,523234244404.08,3.06%,-0.92%,-29.38,3.95%
2025-11-07,3201.26,3208.21,3240.35,3178.80,206879652,502382384266.70,1.91%,-0.51%,-16.41,3.82%
2025-11-06,3185.13,3224.62,3236.68,3177.60,202215805,504556295929.38,1.87%,1.84%,58.39,3.73%
2025-11-05,3068.95,3166.23,3179.93,3068.95,207545764,477383174814.76,3.54%,1.03%,32.14,3.83%
2025-11-04,3190.40,3134.09,3207.10,3111.02,200445072,481315214315.53,3.01%,-1.96%,-62.78,3.70%
2025-11-03,3179.30,3196.87,3199.40,3120.85,217595272,540371749209.12,2.46%,0.29%,9.34,4.02%
2025-10-31,3260.26,3187.53,3281.66,3187.53,220275654,595349876746.47,2.88%,-2.31%,-75.49,4.07%
2025-10-30,3313.79,3263.02,3331.86,3259.21,224015734,645299168649.51,2.19%,-1.84%,-61.25,4.14%
2025-10-29,3263.98,3324.27,3324.27,3258.69,214062869,620733661712.54,2.03%,2.93%,94.69,3.95%
2025-10-28,3205.44,3229.58,3282.33,3205.05,208601022,573266277604.32,2.39%,-0.15%,-4.87,3.85%
2025-10-27,3227.18,3234.45,3241.95,3179.62,213860991,615421313963.72,1.97%,1.98%,62.88,3.95%
