日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2026-01-14,1558.74,1580.87,1612.64,1547.71,18450895,45735478617.00,4.15%,0.98%,15.29,7.28%
2026-01-13,1613.03,1565.58,1614.08,1557.07,20024453,48044640090.00,3.55%,-2.50%,-40.19,7.90%
2026-01-12,1541.36,1605.77,1613.00,1538.33,17045663,43520998843.00,4.90%,5.35%,81.51,6.72%
2026-01-09,1511.97,1524.26,1547.75,1505.96,11367342,29829719672.00,2.77%,1.05%,15.88,4.48%
2026-01-08,1492.92,1508.38,1514.05,1485.30,10178875,26148732260.00,1.92%,0.81%,12.10,4.01%
2026-01-07,1492.39,1496.28,1515.28,1486.32,10353100,27547822423.00,1.94%,0.22%,3.24,4.08%
2026-01-06,1467.99,1493.04,1493.04,1467.99,10037782,25989358036.00,1.71%,1.82%,26.62,3.96%
2026-01-05,1444.23,1466.42,1466.73,1438.76,7996330,21138430662.00,1.94%,1.80%,25.99,3.15%
2025-12-31,1449.56,1440.43,1451.78,1440.43,7598645,20687730850.00,0.78%,-0.70%,-10.21,3.00%
2025-12-30,1450.59,1450.64,1465.42,1442.04,8056052,19084789908.00,1.61%,-0.40%,-5.81,3.18%
2025-12-29,1459.78,1456.45,1469.00,1453.58,8246738,18479075875.00,1.05%,-0.45%,-6.59,3.25%
2025-12-26,1459.46,1463.04,1472.21,1454.77,9428972,21072951970.00,1.20%,0.35%,5.08,3.72%
2025-12-25,1443.89,1457.96,1466.29,1440.88,8441115,19537132551.00,1.76%,0.86%,12.41,3.33%
2025-12-24,1434.26,1445.55,1447.90,1428.93,7973466,17112753724.00,1.32%,0.39%,5.61,3.14%
2025-12-23,1448.63,1439.94,1454.70,1433.81,10375808,21685884877.00,1.44%,-0.64%,-9.34,4.09%
2025-12-22,1450.54,1449.28,1458.18,1440.79,10104369,20470947425.00,1.20%,0.24%,3.44,3.98%
2025-12-19,1435.87,1445.84,1451.64,1432.90,10273747,23023326959.00,1.31%,0.99%,14.13,4.05%
2025-12-18,1430.92,1431.71,1451.39,1429.19,9372039,21526556796.00,1.54%,-0.51%,-7.31,3.70%
2025-12-17,1434.68,1439.02,1440.90,1420.45,10399955,23362675696.00,1.42%,-0.04%,-0.63,4.10%
2025-12-16,1429.07,1439.65,1471.00,1422.27,10541455,24100322286.00,3.40%,0.54%,7.70,4.16%
2025-12-15,1443.07,1431.95,1453.83,1430.17,9025071,21093322883.00,1.63%,-1.09%,-15.74,3.56%
2025-12-12,1434.11,1447.69,1477.11,1415.80,11326054,26945816493.00,4.25%,0.31%,4.52,4.47%
2025-12-11,1393.32,1443.17,1482.59,1382.01,12886650,28293290525.00,7.24%,3.84%,53.37,5.08%
2025-12-10,1397.01,1389.80,1399.25,1373.99,6079749,13276297959.00,1.80%,-0.85%,-11.93,2.40%
2025-12-09,1421.11,1401.73,1421.11,1401.67,6150199,13916252342.00,1.36%,-1.72%,-24.52,2.43%
2025-12-08,1416.09,1426.25,1432.92,1412.35,6359656,15097817880.00,1.46%,1.27%,17.91,2.51%
2025-12-05,1387.21,1408.34,1410.33,1382.17,5936386,13293844135.00,2.03%,1.52%,21.05,2.34%
2025-12-04,1396.04,1387.29,1401.59,1386.11,5735646,12808356676.00,1.11%,-0.37%,-5.20,2.26%
2025-12-03,1401.22,1392.49,1417.17,1390.68,6056588,13730810120.00,1.89%,-0.40%,-5.64,2.39%
2025-12-02,1409.08,1398.13,1415.22,1397.09,5997916,13944687301.00,1.29%,-0.76%,-10.66,2.37%
