时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1777240800,2026-04-27,24196.43,24083.53,,24382.32,24049.44,,-45.45,-0.19%,,24128.98,24166.75,0,24221.92,0,23729.99,0
1776981600,2026-04-24,24217.70,24128.98,,24330.62,23998.07,,-26.47,-0.11%,,24155.45,24233.60,0,24187.81,0,23654.87,0
1776895200,2026-04-23,24076.70,24155.45,,24204.47,23991.78,,-39.45,-0.16%,,24194.90,24348.25,0,24155.30,0,23595.44,0
1776808800,2026-04-22,24373.41,24194.90,,24399.57,24151.89,,-75.97,-0.31%,,24270.87,24348.06,0,24120.46,0,23519.67,0
1776722400,2026-04-21,24508.20,24270.87,,24606.84,24247.31,,-146.93,-0.60%,,24417.80,24322.42,0,24109.03,0,23439.68,0
1776636000,2026-04-20,24385.04,24417.80,,24497.38,24290.00,,-284.44,-1.15%,,24702.24,24277.09,0,23974.10,0,23346.01,0
1776376800,2026-04-17,24150.47,24702.24,,24792.46,24146.58,,+547.77,+2.27%,,24154.47,24142.01,0,23849.13,0,23267.75,0
1776290400,2026-04-16,24135.49,24154.47,,24259.66,24059.17,,+87.77,+0.36%,,24066.70,23962.36,0,23708.80,0,23209.01,0
1776204000,2026-04-15,24060.97,24066.70,,24127.01,23996.80,,+22.48,+0.09%,,24044.22,23892.86,0,23561.35,0,23187.33,0
1776117600,2026-04-14,23953.93,24044.22,,24087.30,23938.11,,+301.78,+1.27%,,23742.44,23895.65,0,23410.97,0,23162.28,0
1776031200,2026-04-13,23562.19,23742.44,,23756.85,23482.01,,-61.51,-0.26%,,23803.95,23671.12,0,23238.07,0,23131.89,0
1775772000,2026-04-10,23827.54,23803.95,,24043.59,23767.71,,-3.04,-0.01%,,23806.99,23556.25,0,23121.94,0,23123.39,0
1775685600,2026-04-09,23981.22,23806.99,,23989.01,23673.12,,-273.64,-1.14%,,24080.63,23455.24,0,23035.58,0,23112.58,0
1775599200,2026-04-08,24021.81,24080.63,,24163.91,23875.79,,+1159.04,+5.06%,,22921.59,23229.85,0,22918.87,0,23118.99,0
1775512800,2026-04-07,23181.65,22921.59,,23397.89,22842.14,,-246.49,-1.06%,,23168.08,22926.30,0,22770.34,0,23084.68,0
1775080800,2026-04-02,22935.23,23168.08,,23235.16,22677.92,,-130.81,-0.56%,,23298.89,22805.03,0,22717.92,0,23115.98,0
1774994400,2026-04-01,23326.89,23298.89,,23377.65,23027.04,,+618.85,+2.73%,,22680.04,22687.62,0,22686.36,0,23146.28,0
1774908000,2026-03-31,22578.84,22680.04,,22850.70,22491.51,,+117.16,+0.52%,,22562.88,22615.93,0,22709.23,0,23192.15,0
1774821600,2026-03-30,22213.86,22562.88,,22562.88,22209.45,,+247.64,+1.11%,,22315.24,22607.90,0,22813.31,0,23245.80,0
1774566000,2026-03-27,22612.93,22315.24,,22631.76,22215.86,,-265.83,-1.18%,,22581.07,22614.37,0,22913.59,0,23351.27,0
1774479600,2026-03-26,22740.71,22581.07,,22813.41,22557.10,,-359.35,-1.57%,,22940.42,22630.81,0,23025.70,0,23501.11,0
1774393200,2026-03-25,22961.89,22940.42,,23079.37,22815.71,,+300.53,+1.33%,,22639.89,22685.09,0,23124.83,0,23635.95,0
1774306800,2026-03-24,22677.09,22639.89,,22730.83,22350.34,,+44.64,+0.20%,,22595.25,22802.54,0,23189.57,0,23747.48,0
1774220400,2026-03-23,21946.95,22595.25,,23178.70,21863.81,,+197.82,+0.88%,,22397.43,23018.71,0,23319.11,0,23866.57,0
1773961200,2026-03-20,23083.89,22397.43,,23176.17,22385.58,,-455.05,-1.99%,,22852.48,23212.81,0,23399.03,0,23986.40,0
1773874800,2026-03-19,23160.58,22852.48,,23180.14,22759.42,,-675.15,-2.87%,,23527.63,23420.58,0,23514.03,0,24128.87,0
1773788400,2026-03-18,23837.20,23527.63,,23957.10,23449.56,,-193.13,-0.81%,,23720.76,23564.58,0,23606.20,0,24237.15,0
1773702000,2026-03-17,23500.34,23720.76,,23820.58,23464.84,,+155.00,+0.66%,,23565.76,23576.61,0,23675.06,0,24325.13,0
1773615600,2026-03-16,23480.50,23565.76,,23699.50,23334.97,,+129.47,+0.55%,,23436.29,23619.52,0,23678.28,0,24389.36,0
1773356400,2026-03-13,23381.91,23436.29,,23762.12,23293.52,,-136.15,-0.58%,,23572.44,23585.24,0,23788.95,0,24451.12,0
1773270000,2026-03-12,23577.82,23572.44,,23703.55,23368.07,,-15.34,-0.07%,,23587.78,23607.49,0,23976.53,0,24524.47,0
1773183600,2026-03-11,23725.21,23587.78,,23824.73,23533.70,,-347.54,-1.45%,,23935.32,23647.82,0,24147.06,0,24587.24,0
1773097200,2026-03-10,23886.38,23935.32,,24061.15,23765.24,,+540.94,+2.31%,,23394.38,23773.51,0,24305.39,0,24651.87,0
1773010800,2026-03-09,22998.94,23394.38,,23470.80,22927.55,,-153.13,-0.65%,,23547.51,23737.05,0,24414.02,0,24704.40,0
1772751600,2026-03-06,23942.89,23547.51,,24028.44,23342.88,,-226.58,-0.95%,,23774.09,23992.66,0,24573.78,0,24784.92,0
1772665200,2026-03-05,24145.44,23774.09,,24366.81,23754.65,,-442.17,-1.83%,,24216.26,24345.58,0,24743.71,0,24843.53,0
1772578800,2026-03-04,23901.32,24216.26,,24242.49,23814.89,,+463.24,+1.95%,,23753.02,24646.30,0,24868.10,0,24877.26,0
1772492400,2026-03-03,24207.44,23753.02,,24239.52,23601.11,,-919.38,-3.73%,,24672.40,24837.26,0,24975.20,0,24899.08,0
1772406000,2026-03-02,24695.44,24672.40,,24897.61,24577.42,,-639.71,-2.53%,,25312.11,25090.99,0,25100.44,0,24950.47,0
1772146800,2026-02-27,25294.37,25312.11,,25405.97,25188.30,,+34.41,+0.14%,,25277.70,25154.90,0,25113.29,0,24956.10,0
1772060400,2026-02-26,25095.86,25277.70,,25318.95,25088.49,,+106.62,+0.42%,,25171.08,25141.84,0,25072.41,0,24916.28,0
1771974000,2026-02-25,25051.84,25171.08,,25184.41,24988.61,,+149.43,+0.60%,,25021.65,25089.90,0,25027.43,0,24867.86,0
1771887600,2026-02-24,24952.16,25021.65,,25091.95,24878.10,,+29.68,+0.12%,,24991.97,25113.14,0,24998.36,0,24851.49,0
1771801200,2026-02-23,25114.39,24991.97,,25194.93,24937.56,,-254.83,-1.01%,,25246.80,25109.88,0,24994.78,0,24845.82,0
1771542000,2026-02-20,25070.00,25246.80,,25331.06,25004.81,,+228.82,+0.91%,,25017.98,25071.67,0,24996.05,0,24842.87,0
1771455600,2026-02-19,25198.38,25017.98,,25228.94,24983.89,,-269.34,-1.07%,,25287.32,25002.99,0,24943.35,0,24823.50,0
1771369200,2026-02-18,25127.13,25287.32,,25315.01,25100.92,,+281.98,+1.13%,,25005.34,24964.96,0,24886.41,0,24816.41,0
1771282800,2026-02-17,24796.82,25005.34,,25020.64,24734.04,,+204.43,+0.82%,,24800.91,24883.58,0,24822.96,0,24780.10,0
1771196400,2026-02-16,24988.61,24800.91,,25020.83,24793.58,,-102.48,-0.41%,,24903.39,24879.67,0,24800.50,0,24764.31,0
1770937200,2026-02-13,24822.30,24903.39,,24953.15,24750.47,,+75.56,+0.30%,,24827.83,24920.44,0,24798.91,0,24772.22,0
1770850800,2026-02-12,25060.80,24827.83,,25239.01,24813.23,,-52.58,-0.21%,,24880.41,24883.72,0,24760.14,0,24790.86,0
1770764400,2026-02-11,24956.46,24880.41,,25001.52,24834.79,,-105.41,-0.42%,,24985.82,24807.87,0,24708.30,0,24818.20,0
1770678000,2026-02-10,24960.59,24985.82,,25075.75,24935.34,,-18.92,-0.08%,,25004.74,24762.34,0,24704.62,0,24839.92,0
1770591600,2026-02-09,24860.67,25004.74,,25010.66,24714.89,,+284.94,+1.15%,,24719.80,24721.34,0,24696.86,0,24861.20,0
1770332400,2026-02-06,24452.15,24719.80,,24737.97,24393.11,,+271.22,+1.11%,,24448.58,24677.37,0,24689.69,0,24880.85,0
1770246000,2026-02-05,24607.47,24448.58,,24663.81,24272.62,,-204.19,-0.83%,,24652.77,24636.56,0,24703.65,0,24907.75,0
1770159600,2026-02-04,24845.59,24652.77,,24877.91,24612.05,,-128.02,-0.52%,,24780.79,24608.73,0,24746.41,0,24941.69,0
1770073200,2026-02-03,24956.76,24780.79,,25098.71,24703.62,,-4.13,-0.02%,,24784.92,24646.89,0,24737.23,0,24963.98,0
1769986800,2026-02-02,24392.09,24784.92,,24851.70,24384.21,,+269.19,+1.10%,,24515.73,24672.38,0,24728.12,0,24969.79,0
1769727600,2026-01-30,24376.15,24515.73,,24585.45,24366.39,,+206.27,+0.85%,,24309.46,24702.01,0,24745.54,0,24973.36,0
1769641200,2026-01-29,24697.38,24309.46,,24758.73,24266.33,,-534.08,-2.15%,,24843.54,24770.73,0,24821.59,0,24973.76,0
1769554800,2026-01-28,24878.23,24843.54,,24926.03,24707.19,,-64.69,-0.26%,,24908.23,24884.09,0,24928.09,0,24982.81,0
1769468400,2026-01-27,25008.03,24908.23,,25020.22,24848.53,,-24.85,-0.10%,,24933.08,24827.58,0,24975.23,0,24958.88,0
1769382000,2026-01-26,24890.30,24933.08,,24985.15,24790.74,,+73.72,+0.30%,,24859.36,24783.87,0,25025.55,0,24930.47,0
1769122800,2026-01-23,24819.94,24859.36,,24930.15,24796.93,,-16.88,-0.07%,,24876.24,24789.06,0,25072.02,0,24898.62,0
1769036400,2026-01-22,24877.63,24876.24,,24937.08,24772.54,,+315.26,+1.28%,,24560.98,24872.45,0,25111.85,0,24870.45,0
1768950000,2026-01-21,24636.55,24560.98,,24656.73,24349.54,,-128.69,-0.52%,,24689.67,24972.10,0,25136.97,0,24836.49,0
1768863600,2026-01-20,24747.35,24689.67,,24758.32,24507.11,,-269.39,-1.08%,,24959.06,25122.88,0,25190.73,0,24806.23,0
1768777200,2026-01-19,24940.47,24959.06,,25070.61,24911.59,,-317.22,-1.26%,,25276.28,25267.23,0,25211.45,0,24776.11,0
1768518000,2026-01-16,25336.01,25276.28,,25354.11,25198.53,,-98.23,-0.39%,,25374.51,25354.97,0,25201.18,0,24741.14,0
1768431600,2026-01-15,25275.83,25374.51,,25378.55,25233.32,,+59.64,+0.24%,,25314.87,25351.25,0,25125.93,0,24687.90,0
1768345200,2026-01-14,25429.75,25314.87,,25461.36,25268.27,,-96.57,-0.38%,,25411.44,25301.84,0,25037.52,0,24633.08,0
1768258800,2026-01-13,25408.37,25411.44,,25507.79,25338.30,,+13.67,+0.05%,,25397.77,25258.57,0,24942.53,0,24573.84,0
1768172400,2026-01-12,25248.37,25397.77,,25421.42,25236.88,,+140.10,+0.55%,,25257.67,25155.67,0,24835.39,0,24511.89,0
1767913200,2026-01-09,25124.02,25257.67,,25281.18,25107.92,,+130.21,+0.52%,,25127.46,25047.38,0,24725.23,0,24444.78,0
1767826800,2026-01-08,25128.46,25127.46,,25217.52,25024.65,,+28.93,+0.12%,,25098.53,24900.62,0,24629.06,0,24383.31,0
1767740400,2026-01-07,24995.00,25098.53,,25121.95,24982.62,,+201.59,+0.81%,,24896.94,24773.21,0,24536.01,0,24321.65,0
1767654000,2026-01-06,24904.68,24896.94,,24969.17,24836.33,,+40.62,+0.16%,,24856.32,24626.48,0,24421.73,0,24250.85,0
1767567600,2026-01-05,24681.35,24856.32,,24860.78,24639.68,,+332.49,+1.36%,,24523.83,24515.11,0,24340.77,0,24191.49,0
1767308400,2026-01-02,24499.51,24523.83,,24676.79,24448.98,,+33.42,+0.14%,,24490.41,24403.07,0,24281.10,0,24128.55,0
1767049200,2025-12-30,24343.19,24490.41,,24527.94,24328.42,,+125.49,+0.52%,,24364.92,24357.50,0,24249.86,0,24093.77,0
1766962800,2025-12-29,24370.94,24364.92,,24389.15,24253.73,,+24.86,+0.10%,,24340.06,24298.82,0,24228.64,0,24057.65,0
1766444400,2025-12-23,24297.62,24340.06,,24362.01,24257.47,,+43.91,+0.18%,,24296.15,24216.97,0,24205.16,0,24024.16,0
1766358000,2025-12-22,24291.85,24296.15,,24356.11,24203.37,,+0.20,+0.00%,,24295.95,24166.43,0,24188.38,0,23980.39,0
1766098800,2025-12-19,24196.19,24295.95,,24305.82,24153.23,,+98.95,+0.41%,,24197.00,24159.13,0,24164.34,0,23928.24,0
1766012400,2025-12-18,23947.03,24197.00,,24215.98,23923.97,,+241.29,+1.01%,,23955.71,24142.22,0,24137.56,0,23868.27,0
1765926000,2025-12-17,24159.62,23955.71,,24185.47,23949.17,,-131.62,-0.55%,,24087.33,24158.46,0,24107.29,0,23823.84,0
1765839600,2025-12-16,24124.11,24087.33,,24191.60,24011.80,,-172.34,-0.71%,,24259.67,24193.34,0,24079.96,0,23786.26,0
1765753200,2025-12-15,24297.64,24259.67,,24318.30,24170.45,,+48.30,+0.20%,,24211.37,24210.34,0,24042.22,0,23740.55,0
1765494000,2025-12-12,24368.94,24211.37,,24474.62,24173.28,,-66.84,-0.28%,,24278.21,24169.54,0,23976.00,0,23706.53,0
1765407600,2025-12-11,24055.17,24278.21,,24364.01,24007.98,,+148.07,+0.61%,,24130.14,24132.89,0,23937.68,0,23690.32,0
1765321200,2025-12-10,24131.39,24130.14,,24168.72,24001.43,,-42.15,-0.17%,,24172.29,24056.12,0,23886.66,0,23678.55,0
1765234800,2025-12-09,24094.99,24172.29,,24186.92,24092.50,,+116.60,+0.48%,,24055.69,23966.59,0,23843.17,0,23691.08,0
