时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1760544000,2025-10-16,25890.01,25897.21,,26062.80,25687.32,238303854483.00,-13.39,-0.05%,,25910.60,25885.79,0,26439.68,0,26475.42,0
1760457600,2025-10-15,25714.89,25910.60,,25982.21,25593.45,315813238886.00,+469.25,+1.84%,,25441.35,26056.87,0,26535.52,0,26502.48,0
1760371200,2025-10-14,25969.21,25441.35,,26102.68,25331.64,398910432264.00,-448.13,-1.73%,,25889.48,26240.64,0,26606.74,0,26529.28,0
1760284800,2025-10-13,25634.00,25889.48,,25895.62,25336.09,490365531322.00,-400.84,-1.52%,,26290.32,26543.92,0,26675.43,0,26576.62,0
1760025600,2025-10-10,26523.89,26290.32,,26558.87,26247.04,333736696891.00,-462.27,-1.73%,,26752.59,26794.21,0,26734.95,0,26586.47,0
1759939200,2025-10-09,26862.03,26752.59,,26978.41,26480.58,386818321278.00,-76.87,-0.29%,,26829.46,26993.57,0,26757.78,0,26581.96,0
1759852800,2025-10-08,26900.64,26829.46,,26906.20,26517.45,173803304767.00,-128.31,-0.48%,,26957.77,27014.17,0,26698.44,0,26541.24,0
1759680000,2025-10-06,27003.92,26957.77,,27145.17,26873.34,121257258911.00,-183.15,-0.67%,,27140.92,26972.85,0,26649.90,0,26481.46,0
1759420800,2025-10-03,27221.46,27140.92,,27262.00,26972.71,134781008933.00,-146.20,-0.54%,,27287.12,26806.94,0,26608.64,0,26404.47,0
1759334400,2025-10-02,26918.30,27287.12,,27381.84,26918.30,222467900789.00,+431.56,+1.61%,,26855.56,26675.69,0,26549.03,0,26300.35,0
1759161600,2025-09-30,26674.16,26855.56,,26888.40,26558.28,314926135272.00,+232.68,+0.87%,,26622.88,26521.99,0,26511.16,0,26203.17,0
1759075200,2025-09-29,26321.57,26622.88,,26687.72,26321.57,309096141408.00,+494.68,+1.89%,,26128.20,26382.71,0,26469.45,0,26135.22,0
