时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1746417600,2025-05-05,5655.32,5650.38,2693789287,5683.38,5634.48,,-36.29,-0.64%,,5686.67,5614.22,3096702367,5527.34,3091799671,5396.30,3647955520
1746158400,2025-05-02,5645.88,5686.67,3010089578,5700.70,5642.28,,+82.53,+1.47%,,5604.14,5589.89,3111361974,5478.12,3117814200,5367.48,3815910768
1746072000,2025-05-01,5625.14,5604.14,3224921079,5658.91,5597.35,,+35.08,+0.63%,,5569.06,5557.60,3097976865,5437.73,3130890920,5352.98,3915251111
1745985600,2025-04-30,5499.44,5569.06,3742261213,5581.84,5433.24,,+8.23,+0.15%,,5560.83,5533.72,3080774942,5404.88,3142098769,5356.32,3891152122
1745899200,2025-04-29,5508.87,5560.83,2812450680,5571.95,5505.70,,+32.08,+0.58%,,5528.75,5495.08,3039501973,5387.64,3048482739,5359.52,3843105726
1745812800,2025-04-28,5529.22,5528.75,2767087321,5553.66,5468.64,,+3.54,+0.06%,,5525.21,5440.47,3086896974,5372.15,3095360943,5362.07,3886245368
1745553600,2025-04-25,5489.73,5525.21,2943164032,5528.11,5455.86,,+40.44,+0.74%,,5484.77,5366.36,3124266426,5355.62,3193258277,5364.68,3889776162
1745467200,2025-04-24,5381.38,5484.77,3138911463,5489.40,5371.96,,+108.91,+2.03%,,5375.86,5317.86,3163804976,5329.90,3378548665,5373.08,3883848230
1745380800,2025-04-23,5395.92,5375.86,3535896370,5469.69,5356.17,,+88.10,+1.67%,,5287.76,5276.04,3203422596,5327.11,3731278829,5384.45,3870175519
1745294400,2025-04-22,5207.67,5287.76,3049425683,5309.61,5207.67,,+129.56,+2.51%,,5158.20,5280.20,3057463505,5287.80,3885111108,5404.49,3827163219
1745208000,2025-04-21,5232.94,5158.20,2953934584,5232.94,5101.63,,-124.50,-2.36%,,5282.70,5303.84,3103824912,5265.25,4204111369,5428.48,3826684530
1744862400,2025-04-17,5305.45,5282.70,3140856780,5328.31,5255.58,,+7.00,+0.13%,,5275.70,5344.87,3262250128,5256.84,4514007336,5453.95,4002412598
1744776000,2025-04-16,5335.75,5275.70,3336999562,5367.24,5220.79,,-120.93,-2.24%,,5396.63,5341.94,3593292354,5268.22,4699611301,5472.96,3987432220
1744689600,2025-04-15,5411.99,5396.63,2806100917,5450.41,5386.44,,-9.34,-0.17%,,5405.97,5378.18,4259135062,5307.75,4640205475,5492.94,3971678212
1744603200,2025-04-14,5441.96,5405.97,3281232715,5459.46,5358.02,,+42.61,+0.79%,,5363.36,5295.41,4712758710,5331.39,4637728712,5503.84,3976165199
1744344000,2025-04-11,5255.56,5363.36,3746060666,5381.46,5220.77,,+95.31,+1.81%,,5268.05,5226.67,5304397826,5351.98,4677129793,5517.30,3961301444
1744257600,2025-04-10,5353.15,5268.05,4796067908,5353.15,5115.27,,-188.85,-3.46%,,5456.90,5168.81,5765764544,5373.74,4586294047,5531.08,3924596861
1744171200,2025-04-09,4965.28,5456.90,6666213104,5481.34,4948.43,,+474.13,+9.52%,,4982.77,5194.50,5805930248,5416.27,4389147794,5543.75,3850967726
1744084800,2025-04-08,5193.57,4982.77,5074219157,5267.47,4910.42,,-79.48,-1.57%,,5062.25,5237.32,5021275887,5441.80,4009072210,5550.87,3690200159
1743998400,2025-04-07,4953.79,5062.25,6239428293,5246.57,4835.04,,-11.83,-0.23%,,5074.08,5367.38,4562698714,5521.18,3769215330,5580.34,3642130324
1743739200,2025-04-04,5292.14,5074.08,6052894256,5292.14,5069.90,,-322.44,-5.97%,,5396.52,5477.30,4049861760,5591.72,3449257692,5607.95,3546847766
1743652800,2025-04-03,5492.74,5396.52,4996896429,5499.53,5390.83,,-274.45,-4.84%,,5670.97,5578.67,3406823550,5651.06,3490817860,5642.76,3442190211
1743566400,2025-04-02,5580.76,5670.97,2742941301,5695.31,5571.48,,+37.90,+0.67%,,5633.07,5638.03,2972365341,5677.70,3275253139,5659.86,3359334428
1743480000,2025-04-01,5597.53,5633.07,2781333289,5650.57,5558.52,,+21.22,+0.38%,,5611.85,5646.27,2996868532,5678.13,3303150950,5668.44,3388463938
1743393600,2025-03-31,5527.91,5611.85,3675243524,5627.56,5488.73,,+30.91,+0.55%,,5580.94,5674.99,2975731947,5676.29,3314601687,5675.70,3461726568
1743134400,2025-03-28,5679.20,5580.94,2837703209,5685.89,5572.42,,-112.37,-1.97%,,5693.31,5706.13,2848653625,5682.62,3245473095,5687.59,3458114413
1743048000,2025-03-27,5695.64,5693.31,2824605380,5732.28,5670.94,,-18.89,-0.33%,,5712.20,5723.46,3574812170,5688.42,3262899675,5706.27,3532063889
1742961600,2025-03-26,5771.66,5712.20,2865457257,5783.62,5694.41,,-64.45,-1.12%,,5776.65,5717.37,3578140938,5671.24,3312787658,5714.68,3557430712
1742875200,2025-03-25,5775.96,5776.65,2675650367,5786.95,5760.42,,+9.08,+0.16%,,5767.57,5709.99,3609433368,5659.95,3371328108,5726.87,3562388360
1742788800,2025-03-24,5718.08,5767.57,3039851911,5775.14,5718.08,,+100.01,+1.76%,,5667.56,5677.59,3653471427,5639.49,3515045316,5735.80,3602865171
1742529600,2025-03-21,5630.73,5667.56,6468495934,5670.84,5603.10,,+4.67,+0.08%,,5662.89,5659.10,3642292565,5624.19,3644437839,5746.59,3614994790
1742443200,2025-03-20,5646.92,5662.89,2841249219,5711.15,5632.33,,-12.40,-0.22%,,5675.29,5653.38,2950987179,5634.45,3393562562,5763.87,3460896459
1742356800,2025-03-19,5632.37,5675.29,3021919411,5715.33,5622.20,,+60.63,+1.08%,,5614.66,5625.11,3047434377,5642.02,3443415716,5786.60,3466711935
