时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1464710400,2016-06-01,3596.40,3618.63,,3625.68,3596.40,5226329800.00,+9.13,+0.25%,,3609.50,3586.90,0,3541.36,0,3543.39,0
1464624000,2016-05-31,3576.75,3609.50,,3631.37,3576.75,8611445600.00,+23.15,+0.65%,,3586.35,3570.99,0,3530.05,0,3546.25,0
1464537600,2016-05-30,3562.81,3586.35,,3604.02,3548.69,4369089100.00,+20.57,+0.58%,,3565.78,3543.38,0,3523.62,0,3550.31,0
1464278400,2016-05-27,3554.96,3565.78,,3569.57,3522.22,4330978700.00,+11.56,+0.33%,,3554.22,3525.48,0,3516.35,0,3558.46,0
1464192000,2016-05-26,3545.60,3554.22,,3560.26,3526.48,3411375200.00,+15.12,+0.43%,,3539.10,3513.43,0,3508.90,0,3570.34,0
1464105600,2016-05-25,3520.28,3539.10,,3551.87,3520.28,4321819300.00,+67.66,+1.95%,,3471.44,3495.82,0,3506.91,0,3583.24,0
1464019200,2016-05-24,3499.83,3471.44,,3499.83,3453.13,3335292700.00,-25.40,-0.73%,,3496.84,3489.11,0,3506.46,0,3597.65,0
1463932800,2016-05-23,3495.04,3496.84,,3525.87,3483.24,2756001600.00,-8.72,-0.25%,,3505.56,3503.87,0,3514.45,0,3616.07,0
1463673600,2016-05-20,3455.03,3505.56,,3529.49,3455.03,3606256700.00,+39.39,+1.14%,,3466.17,3507.22,0,3521.68,0,3634.39,0
1463587200,2016-05-19,3501.92,3466.17,,3501.92,3457.24,3300990800.00,-39.35,-1.12%,,3505.52,3504.37,0,3527.83,0,3654.08,0
1463500800,2016-05-18,3505.00,3505.52,,3515.21,3478.32,3969906500.00,-39.74,-1.12%,,3545.26,3518.00,0,3545.41,0,3672.08,0
1463414400,2016-05-17,3521.27,3545.26,,3549.80,3480.42,4177255500.00,+31.68,+0.90%,,3513.58,3523.81,0,3562.45,0,3691.03,0
1463328000,2016-05-16,3474.59,3513.58,,3520.14,3465.45,3734060400.00,+22.25,+0.64%,,3491.33,3525.03,0,3577.00,0,3706.72,0
1463068800,2016-05-13,3515.73,3491.33,,3528.17,3469.16,4918438600.00,-43.00,-1.22%,,3534.33,3536.15,0,3600.57,0,3725.57,0
1462982400,2016-05-12,3541.26,3534.33,,3545.79,3500.07,3226782300.00,-0.22,-0.01%,,3534.55,3551.30,0,3631.77,0,3745.42,0
1462896000,2016-05-11,3567.93,3534.55,,3568.73,3513.51,4397380100.00,-16.82,-0.47%,,3551.37,3572.83,0,3659.58,0,3762.21,0
1462809600,2016-05-10,3519.83,3551.37,,3553.85,3514.83,4720354100.00,-17.79,-0.50%,,3569.16,3601.09,0,3688.84,0,3772.64,0
1462723200,2016-05-09,3597.80,3569.16,,3605.11,3562.35,3237892300.00,+2.09,+0.06%,,3567.07,3628.96,0,3717.69,0,3781.36,0
1462464000,2016-05-06,3625.08,3567.07,,3627.36,3556.96,5249983100.00,-74.91,-2.06%,,3641.98,3665.00,0,3747.10,0,3787.91,0
1462377600,2016-05-05,3649.40,3641.98,,3663.20,3635.46,3959673500.00,-33.91,-0.92%,,3675.89,3712.25,0,3780.32,0,3793.43,0
1462291200,2016-05-04,3672.13,3675.89,,3678.82,3646.65,4966389400.00,-14.82,-0.40%,,3690.71,3746.33,0,3798.75,0,3794.24,0
1462204800,2016-05-03,3757.37,3690.71,,3757.37,3685.84,4940661000.00,-58.63,-1.56%,,3749.34,3776.59,0,3819.61,0,3792.95,0
1461859200,2016-04-29,3774.14,3749.34,,3778.78,3737.94,4671185300.00,-53.99,-1.42%,,3803.33,3806.42,0,3836.43,0,3793.42,0
