日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅（%）,涨跌幅（%）,涨跌额,换手率（%）
2025-05-20,995.75,998.40,1000.38,993.69,1765461,8372916587.00,0.67%,0.32%,3.15,0.30%
2025-05-19,994.28,995.25,998.62,985.98,4313331,17660736522.00,1.27%,0.00%,0.01,0.73%
2025-05-16,997.45,995.24,999.41,991.42,3635157,17183726305.00,0.80%,-0.57%,-5.73,0.61%
2025-05-15,1011.57,1000.97,1011.69,999.26,3808564,18253497848.00,1.23%,-1.26%,-12.80,0.64%
2025-05-14,1014.10,1013.77,1021.39,1006.51,4867945,21853068151.00,1.47%,0.41%,4.09,0.82%
2025-05-13,1020.34,1009.68,1021.53,1009.63,5850734,22751576354.00,1.18%,-0.15%,-1.55,0.99%
2025-05-12,1008.96,1011.23,1016.73,1004.49,5127871,26523876386.00,1.22%,0.49%,4.91,0.87%
2025-05-09,1020.79,1006.32,1020.79,1006.32,4559588,23619030336.00,1.41%,-1.96%,-20.12,0.77%
2025-05-08,1024.97,1026.44,1030.09,1022.49,4399338,21702341600.00,0.74%,-0.36%,-3.75,0.74%
2025-05-07,1044.17,1030.19,1044.57,1021.79,5556163,27590484959.00,2.22%,0.36%,3.67,0.94%
2025-05-06,1016.44,1026.52,1027.02,1013.58,5396841,27521096690.00,1.33%,1.39%,14.10,0.91%
2025-04-30,1000.65,1012.42,1014.37,1000.65,5521387,26295606260.00,1.37%,0.85%,8.55,0.93%
2025-04-29,996.97,1003.87,1005.71,994.22,4004222,18713607629.00,1.15%,0.10%,1.04,0.68%
2025-04-28,1004.05,1002.83,1008.59,997.90,3572348,18698563913.00,1.06%,-0.17%,-1.74,0.60%
2025-04-25,1003.87,1004.57,1011.59,997.98,3886927,20273706756.00,1.36%,0.12%,1.25,0.66%
2025-04-24,1012.33,1003.32,1012.40,1000.46,3606206,20050769533.00,1.18%,-0.92%,-9.33,0.61%
2025-04-23,1019.02,1012.65,1022.66,1010.09,4055068,23097083641.00,1.24%,-0.35%,-3.57,0.69%
2025-04-22,1018.42,1016.22,1023.50,1012.60,4275467,23588916840.00,1.07%,-0.31%,-3.19,0.72%
2025-04-21,1012.81,1019.41,1021.38,1008.56,3394109,22950800844.00,1.27%,1.07%,10.81,0.57%
2025-04-18,1011.51,1008.60,1012.93,1003.43,3000960,16711032776.00,0.93%,-0.81%,-8.21,0.51%
2025-04-17,1007.63,1016.81,1024.04,1006.77,3748533,24115748795.00,1.70%,0.23%,2.30,0.63%
2025-04-16,1016.76,1014.51,1017.14,996.40,4615821,28046354289.00,2.06%,0.81%,8.17,0.78%
2025-04-15,1011.67,1006.34,1012.02,995.82,4102085,22436637755.00,1.60%,-0.78%,-7.94,0.69%
2025-04-14,1018.26,1014.28,1025.44,1006.17,5538087,31846374034.00,1.90%,0.25%,2.57,0.94%
2025-04-11,990.83,1011.71,1027.54,987.83,7564117,43608420413.00,4.01%,2.07%,20.49,1.28%
2025-04-10,1003.68,991.22,1006.15,985.71,6985864,37829571448.00,2.08%,1.09%,10.65,1.18%
2025-04-09,922.86,980.57,992.34,917.35,9253876,50318541193.00,7.98%,4.31%,40.48,1.56%
2025-04-08,932.24,940.09,950.74,923.67,8946769,40548049951.00,2.93%,1.72%,15.92,1.51%
2025-04-07,960.49,924.17,982.77,877.71,11689398,55444826856.00,10.32%,-9.22%,-93.90,1.98%
2025-04-03,1011.60,1018.07,1030.55,1011.60,4636224,27916862339.00,1.85%,-0.46%,-4.68,0.78%
2025-04-02,1021.82,1022.75,1030.91,1020.38,3548017,18036025231.00,1.03%,-0.16%,-1.63,0.60%
2025-04-01,1027.96,1024.38,1037.32,1022.78,5082443,28541911260.00,1.42%,0.16%,1.67,0.86%
