时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1762318800,2025-11-05,23358.07,23499.80,9109600576,23636.53,23286.87,,+151.16,+0.65%,,23348.64,23597.85,9374109194,23555.93,9438172406,23130.10,9592789352
1762232400,2025-11-04,23458.21,23348.64,8995787378,23644.15,23333.32,,-486.08,-2.04%,,23834.72,23689.59,9371387499,23479.99,9875550929,23107.28,9647648206
1762146000,2025-11-03,23951.91,23834.72,9346766119,23976.84,23764.87,,+109.76,+0.46%,,23724.96,23785.36,9497843875,23440.50,9993452868,23079.26,9657564714
1761883200,2025-10-31,23941.78,23724.96,9869079048,23946.23,23628.82,,+143.82,+0.61%,,23581.14,23745.90,9614934909,23356.08,9939711569,23034.61,9655028288
1761796800,2025-10-30,23793.08,23581.14,9549312851,23846.13,23578.47,,-377.33,-1.57%,,23958.47,23641.89,9532036057,23251.58,9772505304,22987.39,9627569021
1761710400,2025-10-29,23987.29,23958.47,9095992101,24019.99,23763.99,,+130.98,+0.55%,,23827.49,23514.02,9502235618,23149.72,9824800012,22950.53,9576592932
1761624000,2025-10-28,23766.46,23827.49,9628069255,23901.36,23675.19,,+190.03,+0.80%,,23637.46,23270.40,10379714359,23020.88,9950505783,22890.37,9574303996
1761537600,2025-10-27,23537.32,23637.46,9932221289,23658.66,23493.96,,+432.59,+1.86%,,23204.87,23095.64,10489061862,22890.30,9859346816,22831.99,9492997004
1761278400,2025-10-24,23143.23,23204.87,9454584789,23261.26,23127.95,,+263.07,+1.15%,,22941.80,22966.26,10264488229,22796.02,9665374381,22779.68,9406879252
1761192000,2025-10-23,22751.33,22941.80,9400310655,22983.46,22732.18,,+201.40,+0.89%,,22740.40,22861.28,10012974550,22695.97,9706226537,22743.64,9307849009
1761105600,2025-10-22,22940.79,22740.40,13483385806,22978.40,22514.08,,-213.27,-0.93%,,22953.67,22785.42,10147364407,22704.26,9747406298,22715.78,9274882715
1761019200,2025-10-21,22984.55,22953.67,10174806769,23010.35,22894.42,,-36.87,-0.16%,,22990.54,22771.36,9521297207,22734.55,9419745482,22703.65,9018839069
