时间戳,时间,开盘,收盘,成交量,最高,最低,成交额,涨跌额,涨跌幅,换手率,昨收,ma5均价,ma5成交量,ma10均价,ma10成交量,ma20均价,ma20成交量
1760544000,2025-10-16,2317.41,2317.48,3497328520,2334.71,2297.30,97491255977.00,-0.77,-0.03%,,2318.25,2317.27,5329554814,2373.19,4178718390,2375.95,4917355907
1760457600,2025-10-15,2299.63,2318.25,4885931963,2325.79,2286.65,130510294737.00,+44.04,+1.94%,,2274.21,2334.14,5744864100,2383.21,4349430116,2378.02,4945828760
1760371200,2025-10-14,2329.21,2274.21,6491798541,2341.02,2264.81,186253879414.00,-45.62,-1.97%,,2319.83,2353.54,5369423337,2390.84,4369095964,2380.08,4933188446
1760284800,2025-10-13,2295.26,2319.83,7192181945,2321.47,2267.37,239994331425.00,-36.77,-1.56%,,2356.61,2384.16,4398568573,2398.21,4301671732,2384.09,4883596749
1760025600,2025-10-10,2379.08,2356.61,4580533103,2383.37,2351.64,159729391476.00,-45.21,-1.88%,,2401.82,2409.01,3315694166,2404.29,4153058962,2384.13,4802797631
1759939200,2025-10-09,2419.11,2401.82,5573874950,2423.36,2378.39,183241260217.00,-13.43,-0.56%,,2415.25,2429.11,3027881966,2406.94,4121609194,2382.90,4807839472
1759852800,2025-10-08,2421.40,2415.25,3008728147,2421.40,2385.39,81075201299.00,-12.05,-0.50%,,2427.30,2432.29,2953996132,2401.11,4024256004,2378.18,4759695266
1759680000,2025-10-06,2430.64,2427.30,1637524720,2443.82,2419.09,55108221160.00,-16.76,-0.69%,,2444.06,2428.13,3368768591,2395.66,4185167989,2371.37,4860739188
1759420800,2025-10-03,2451.45,2444.06,1777809912,2455.67,2429.00,63730967363.00,-13.07,-0.53%,,2457.13,2412.26,4204774890,2390.51,4682577624,2362.77,5078539849
1759334400,2025-10-02,2424.00,2457.13,3141472100,2466.51,2423.41,117155125842.00,+39.44,+1.63%,,2417.69,2399.58,4990423758,2383.62,5183212252,2351.68,5296478587
1759161600,2025-09-30,2400.18,2417.69,5204445782,2421.11,2389.30,151438167536.00,+23.23,+0.97%,,2394.47,2384.78,5215336422,2378.71,5655993424,2341.30,5358667822
1759075200,2025-09-29,2364.38,2394.47,5082590442,2400.94,2364.38,148768922063.00,+46.50,+1.98%,,2347.97,2369.93,5094515876,2372.83,5542227403,2333.49,5386960685
1758816000,2025-09-26,2359.10,2347.97,5817556215,2373.88,2341.66,163066219258.00,-32.69,-1.37%,,2380.66,2363.19,5001567388,2369.32,5497280929,2327.39,5453745228
1758729600,2025-09-25,2385.39,2380.66,5706054252,2398.00,2373.04,157384236314.00,-2.43,-0.10%,,2383.09,2368.75,5160380359,2369.97,5465521767,2320.84,5525316422
1758643200,2025-09-24,2334.79,2383.09,4266035421,2387.21,2332.43,145902165874.00,+39.62,+1.69%,,2343.47,2367.65,5376000746,2363.97,5452536299,2312.19,5598646989
1758556800,2025-09-23,2367.94,2343.47,4600343049,2369.56,2327.12,124436568909.00,-17.28,-0.73%,,2360.75,2372.64,6096650426,2358.85,5494069751,2304.35,5799925207
1758470400,2025-09-22,2368.88,2360.75,4617848001,2373.34,2347.67,130206936834.00,-15.05,-0.63%,,2375.79,2375.74,5989938930,2355.25,5495134528,2300.01,5855168401
1758211200,2025-09-19,2380.71,2375.79,6611621070,2387.83,2364.06,169630042825.00,+0.65,+0.03%,,2375.15,2375.45,5992994470,2347.08,5536310387,2296.13,5952256844
1758124800,2025-09-18,2405.74,2375.15,6784156187,2424.04,2353.24,200634617547.00,-32.89,-1.37%,,2408.04,2371.19,5770663176,2335.03,5474502074,2289.22,5878684503
1758038400,2025-09-17,2372.11,2408.04,7869283822,2410.35,2370.80,179583927761.00,+49.08,+2.08%,,2358.95,2360.30,5529071853,2319.75,5409744921,2281.21,5724226944
1757952000,2025-09-16,2366.70,2358.95,4066785569,2373.91,2348.31,118601728281.00,-0.35,-0.01%,,2359.30,2345.06,4891489076,2303.89,5061342221,2271.71,5536451683
1757865600,2025-09-15,2347.50,2359.30,4633125701,2369.23,2344.37,131369764224.00,+4.78,+0.20%,,2354.52,2334.76,5000330126,2294.15,5231693968,2264.43,5550828776
1757606400,2025-09-12,2365.94,2354.52,5499964599,2372.04,2349.34,146956446761.00,+33.83,+1.46%,,2320.69,2318.71,5079626303,2285.47,5410209527,2257.38,5628084179
1757520000,2025-09-11,2309.40,2320.69,5576199575,2335.51,2299.04,157557299882.00,-11.16,-0.48%,,2331.84,2298.88,5178340973,2271.72,5585111077,2250.72,5625837121
